[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
7,1000,70,7.7,28,0,940,28,16,16,60,7.231,91,713,69.86098611,8.90667358,6.534791252,7.935613682,485,18,455,42,503,497
2,1000,70,7.7,28,0,934,30,20,16,66,7.483,99,709,69.99987631,8.964786887,6.64484127,8.334677419,479,25,455,41,504,496
6,1000,70,7.7,28,0,952,19,20,9,48,7.176,89,672,70.0497089,8.605749219,6.511583012,7.890041494,504,14,448,34,518,482
5,1000,70,7.7,28,0,938,31,13,18,62,7.194,88,729,70.32614286,8.9529735,6.467583497,7.947046843,484,25,454,37,509,491
3,1000,70,7.7,28,0,949,27,10,14,51,7.007,83,710,70.08850607,8.693818829,6.211382114,7.777559055,476,16,473,35,492,508
4,1000,70,7.7,28,0,953,24,12,11,47,6.987,109,711,69.96795318,8.673330692,6.255859375,7.754098361,498,14,455,33,512,488
8,1000,70,7.7,28,0,933,36,16,15,67,7.218,86,717,69.99015528,9.001895682,6.539877301,7.866927593,466,23,467,44,489,511
1,1000,70,7.7,28,0,948,28,10,14,52,7.091,108,727,70.19579684,8.884182512,6.666666667,7.511952191,477,21,471,31,498,502
7,1000,70,7.7,28,1,940,28,16,16,60,7.274221356,75,693,69.9041202,8.929633766,6.568288964,7.988676071,485,18,455,42,503,497
6,1000,70,7.7,28,1,953,19,19,9,47,7.200589789,90,728,70.07103359,8.591682931,6.537574967,7.913124389,504,14,449,33,518,482
2,1000,70,7.7,28,1,933,31,20,16,67,7.520800558,102,723,70.05066384,8.990520209,6.693640892,8.361301509,478,26,455,41,504,496
8,1000,70,7.7,28,1,934,35,16,15,66,7.247711133,84,709,70.05067063,9.011040063,6.549415841,7.915942832,467,22,467,44,489,511
5,1000,70,7.7,28,1,938,31,12,19,62,7.232609147,68,698,70.37513415,8.969007638,6.520743924,7.970571262,484,25,454,37,509,491
4,1000,70,7.7,28,1,952,25,12,11,48,7.001405384,95,685,70.00354242,8.674998829,6.270936044,7.767799445,498,14,454,34,512,488
7,1000,70,7.7,28,2,940,28,16,16,60,7.310500277,95,705,69.9688542,8.950184259,6.607201889,8.02228919,486,17,454,43,503,497
1,1000,70,7.7,28,1,951,27,8,14,49,7.093637449,110,710,70.2285187,8.89989166,6.679642928,7.504333208,478,20,473,29,498,502
3,1000,70,7.7,28,1,949,27,10,14,51,7.001989513,98,721,70.12615856,8.718104167,6.266853482,7.713971653,476,16,473,35,492,508
6,1000,70,7.7,28,2,954,20,17,9,46,7.188471484,83,716,70.1276042,8.611120568,6.519811866,7.907072484,504,14,450,32,518,482
2,1000,70,7.7,28,2,934,31,20,15,66,7.523520698,87,695,70.04124616,9.021669668,6.730840353,8.32898621,479,25,455,41,504,496
5,1000,70,7.7,28,2,938,31,12,19,62,7.279856681,88,699,70.44162842,9.012546372,6.595031325,7.98978765,484,25,454,37,509,491
8,1000,70,7.7,28,2,936,34,15,15,64,7.263352933,74,700,70.10669185,9.015289667,6.603774123,7.894535004,467,22,469,42,489,511
4,1000,70,7.7,28,2,952,26,11,11,48,7.032727015,81,704,70.06162918,8.686312509,6.304801937,7.796451686,499,13,453,35,512,488
7,1000,70,7.7,28,3,940,28,16,16,60,7.342432086,104,704,70.01576934,8.978320501,6.611743801,8.081941557,486,17,454,43,503,497
3,1000,70,7.7,28,2,949,27,10,14,51,7.022149843,98,704,70.18099243,8.779253458,6.277289844,7.743549684,476,16,473,35,492,508
6,1000,70,7.7,28,3,955,19,16,10,45,7.200661689,82,709,70.1682833,8.663317886,6.530443025,7.920938179,504,14,451,31,518,482
2,1000,70,7.7,28,3,937,31,17,15,63,7.546258521,101,688,70.07349953,9.052333916,6.748929837,8.356447345,480,24,457,39,504,496
1,1000,70,7.7,28,2,952,27,8,13,48,7.080572977,103,681,70.28378899,8.924321832,6.644476046,7.513195031,479,19,473,29,498,502
5,1000,70,7.7,28,3,939,29,13,19,61,7.289425655,99,729,70.45897831,9.023700974,6.64635017,7.95607621,483,26,456,35,509,491
7,1000,70,7.7,28,4,940,30,16,14,60,7.354569235,90,672,70.07913986,8.989476876,6.639906219,8.077859975,486,17,454,43,503,497
8,1000,70,7.7,28,3,935,35,14,16,65,7.291405913,97,719,70.18495932,9.025264874,6.604872687,7.948381937,467,22,468,43,489,511
3,1000,70,7.7,28,3,949,27,10,14,51,7.049971225,91,679,70.22946242,8.795958002,6.311558703,7.765126659,476,16,473,35,492,508
4,1000,70,7.7,28,3,952,24,13,11,48,7.059801417,88,712,70.08779782,8.702323546,6.302901916,7.853925483,499,13,453,35,512,488
6,1000,70,7.7,28,4,955,19,16,10,45,7.224109039,110,682,70.20441222,8.683290236,6.557931637,7.94004243,504,14,451,31,518,482
2,1000,70,7.7,28,4,940,29,16,15,60,7.559587699,90,716,70.12613678,9.074892073,6.755122275,8.377028373,482,22,458,38,504,496
5,1000,70,7.7,28,4,939,29,13,19,61,7.304114167,95,718,70.49829785,9.038690639,6.633299298,7.999521027,483,26,456,35,509,491
1,1000,70,7.7,28,3,955,24,8,13,45,7.0939377,105,708,70.36099939,8.948929519,6.643181437,7.54110228,480,18,475,27,498,502
7,1000,70,7.7,28,5,939,31,16,14,61,7.399891752,91,695,70.14025208,9.010934219,6.706070912,8.102088698,485,18,454,43,503,497
8,1000,70,7.7,28,4,936,34,14,16,64,7.329924928,98,700,70.24653761,9.054935312,6.646548416,7.983880141,467,22,469,42,489,511
3,1000,70,7.7,28,4,952,23,11,14,48,7.067560906,74,708,70.2467402,8.822058176,6.383788204,7.72979746,477,15,475,33,492,508
4,1000,70,7.7,28,4,953,24,11,12,47,7.082533632,95,715,70.13866323,8.719160423,6.312801059,7.890121905,500,12,453,35,512,488
6,1000,70,7.7,28,5,955,19,16,10,45,7.227703252,79,709,70.23180415,8.715243402,6.563956525,7.941024425,504,14,451,31,518,482
2,1000,70,7.7,28,5,937,32,15,16,63,7.588389828,106,691,70.16330084,9.110402985,6.786360136,8.403355484,481,23,456,40,504,496
7,1000,70,7.7,28,6,940,30,15,15,60,7.430974975,76,688,70.18036454,9.023334157,6.758637501,8.1114292,485,18,455,42,503,497
5,1000,70,7.7,28,5,939,28,14,19,61,7.311829238,104,696,70.56361674,9.060954394,6.657051707,7.990610832,483,26,456,35,509,491
1,1000,70,7.7,28,4,955,24,8,13,45,7.12503299,95,696,70.39705358,8.978754477,6.672428428,7.574031141,480,18,475,27,498,502
8,1000,70,7.7,28,5,935,37,14,14,65,7.314202051,97,721,70.27331014,9.095301732,6.702190808,7.899864474,466,23,469,42,489,511
3,1000,70,7.7,28,5,956,22,8,14,44,7.029849035,101,720,70.26103001,8.838087861,6.376910923,7.662222168,478,14,478,30,492,508
4,1000,70,7.7,28,5,954,23,11,12,46,7.114760532,103,699,70.18507291,8.751598241,6.332682717,7.93530119,500,12,454,34,512,488
6,1000,70,7.7,28,6,958,18,14,10,42,7.205024708,114,722,70.27564556,8.76495887,6.538568459,7.921257774,505,13,453,29,518,482
2,1000,70,7.7,28,6,936,33,15,16,64,7.618682205,80,722,70.20025181,9.119797246,6.812876615,8.437484659,481,23,455,41,504,496
7,1000,70,7.7,28,7,939,31,15,15,61,7.460962011,116,708,70.22529504,9.061196767,6.79412778,8.135846555,484,19,455,42,503,497
5,1000,70,7.7,28,6,941,28,12,19,59,7.314093833,107,723,70.6048555,9.100319311,6.669171231,7.982659219,484,25,457,34,509,491
8,1000,70,7.7,28,6,935,38,13,14,65,7.356010366,104,715,70.33081379,9.101312558,6.766783735,7.919869119,465,24,470,41,489,511
3,1000,70,7.7,28,6,956,22,7,15,44,7.054145807,92,703,70.31621885,8.858683961,6.389168829,7.698178629,478,14,478,30,492,508
1,1000,70,7.7,28,5,956,24,7,13,44,7.159138442,90,691,70.44692353,9.007416574,6.688210706,7.626313766,481,17,475,27,498,502
4,1000,70,7.7,28,6,952,24,12,12,48,7.159842136,117,717,70.25392418,8.797814231,6.40315531,7.953743068,499,13,453,35,512,488
6,1000,70,7.7,28,7,959,17,14,10,41,7.243463756,87,732,70.31260171,8.754992261,6.612435018,7.921623271,505,13,454,28,518,482
2,1000,70,7.7,28,7,936,34,14,16,64,7.627265236,94,709,70.28279436,9.152257592,6.840376594,8.426845631,481,23,455,41,504,496
7,1000,70,7.7,28,8,939,31,15,15,61,7.519448108,95,713,70.26924401,9.082693865,6.854235877,8.192691071,484,19,455,42,503,497
5,1000,70,7.7,28,7,940,30,13,17,60,7.307137159,103,726,70.65560232,9.10802397,6.7009832,7.935512647,484,25,456,35,509,491
6,1000,70,7.7,28,8,959,17,13,11,41,7.304425667,96,677,70.35666755,8.771715931,6.673586691,7.982381246,505,13,454,28,518,482
2,1000,70,7.7,28,8,937,33,14,16,63,7.632161697,94,703,70.37211599,9.156452424,6.840692081,8.436396953,481,23,456,40,504,496
7,1000,70,7.7,28,9,939,32,14,15,61,7.539074741,86,734,70.33590281,9.102349513,6.874937497,8.21122974,484,19,455,42,503,497
3,1000,70,7.7,28,7,956,23,7,14,44,7.082345368,95,699,70.35922706,8.89284795,6.438735483,7.705684075,478,14,478,30,492,508
8,1000,70,7.7,28,7,937,36,12,15,63,7.379238142,100,724,70.37965161,9.13583534,6.787457803,7.945540658,466,23,471,40,489,511
4,1000,70,7.7,28,7,952,25,12,11,48,7.194059896,91,687,70.30412156,8.81435035,6.457170071,7.967190204,499,13,453,35,512,488
1,1000,70,7.7,28,6,956,25,6,13,44,7.167190728,84,703,70.46125332,9.028003023,6.712186677,7.618569249,481,17,475,27,498,502
5,1000,70,7.7,28,8,941,29,13,17,59,7.343691373,99,707,70.7212708,9.127091984,6.724230163,7.985861956,484,25,457,34,509,491
2,1000,70,7.7,28,9,939,32,13,16,61,7.658145567,95,700,70.43447439,9.16688075,6.852444414,8.476841899,482,22,457,39,504,496
6,1000,70,7.7,28,9,959,18,12,11,41,7.323449668,102,736,70.42466571,8.794870959,6.646663696,8.05078397,505,13,454,28,518,482
7,1000,70,7.7,28,10,939,33,13,15,61,7.539687694,110,705,70.34205795,9.149248719,6.87256802,8.214861126,484,19,455,42,503,497
3,1000,70,7.7,28,8,956,23,7,14,44,7.072433295,113,722,70.42783916,8.912379508,6.378913368,7.744110074,478,14,478,30,492,508
4,1000,70,7.7,28,8,953,24,12,11,47,7.189888213,91,696,70.33164737,8.852512009,6.461280948,7.954328622,498,14,455,33,512,488
1,1000,70,7.7,28,7,956,25,6,13,44,7.199528176,91,717,70.52913946,9.031373848,6.74620019,7.649243986,481,17,475,27,498,502
8,1000,70,7.7,28,8,938,34,13,15,62,7.369387542,92,699,70.38927425,9.156093095,6.768947572,7.943976868,467,22,471,40,489,511
5,1000,70,7.7,28,9,940,31,13,16,60,7.363962167,87,708,70.77262869,9.177811965,6.728683377,8.0225302,483,26,457,34,509,491
7,1000,70,7.7,28,11,938,34,13,15,62,7.554846651,81,696,70.37797114,9.184792466,6.87780664,8.240060184,485,18,453,44,503,497
3,1000,70,7.7,28,9,957,22,7,14,43,7.10170868,84,718,70.47078286,8.951403671,6.409905945,7.771722354,479,13,478,30,492,508
4,1000,70,7.7,28,9,955,25,10,10,45,7.169683949,94,707,70.3744987,8.880591991,6.4893065,7.883522583,498,14,457,31,512,488
2,1000,70,7.7,28,10,940,30,14,16,60,7.659804466,117,724,70.45709155,9.191932078,6.823651086,8.50944419,484,20,456,40,504,496
6,1000,70,7.7,28,10,958,19,12,11,42,7.364230312,97,709,70.46601874,8.823709,6.694913552,8.083537535,504,14,454,28,518,482
1,1000,70,7.7,28,8,955,26,6,13,45,7.265917515,112,702,70.58708296,9.056269953,6.82033527,7.707949303,480,18,475,27,498,502
8,1000,70,7.7,28,9,940,33,13,14,60,7.340108421,103,712,70.45251106,9.183266247,6.712410428,7.940782235,469,20,471,40,489,511
3,1000,70,7.7,28,10,958,22,7,13,42,7.104072119,96,705,70.53307066,8.982633908,6.422170438,7.764496581,479,13,479,29,492,508
7,1000,70,7.7,28,12,939,33,12,16,61,7.573436283,84,711,70.42333389,9.201605931,6.902089297,8.252888062,485,18,454,43,503,497
5,1000,70,7.7,28,10,941,31,12,16,59,7.401454549,98,726,70.83079109,9.193950758,6.762984757,8.063330566,483,26,458,33,509,491
4,1000,70,7.7,28,10,955,25,10,10,45,7.205099658,83,720,70.41238573,8.907086234,6.518036631,7.92595267,498,14,457,31,512,488
2,1000,70,7.7,28,11,940,30,13,17,60,7.703573981,109,697,70.47559688,9.202591612,6.859000989,8.561769118,484,20,456,40,504,496
6,1000,70,7.7,28,11,958,19,12,11,42,7.378987817,96,728,70.51466396,8.85104313,6.68793172,8.121658063,504,14,454,28,518,482
8,1000,70,7.7,28,10,941,32,13,14,59,7.345516401,107,729,70.4900743,9.205802315,6.708976467,7.954651485,469,20,472,39,489,511
1,1000,70,7.7,28,9,956,25,6,13,44,7.316377256,90,689,70.64444442,9.075122813,6.891610468,7.737759447,480,18,476,26,498,502
3,1000,70,7.7,28,11,957,23,8,12,43,7.140688458,83,725,70.60532895,9.017653973,6.466622328,7.793524159,479,13,478,30,492,508
7,1000,70,7.7,28,13,940,33,11,16,60,7.586011641,89,718,70.43933278,9.232441785,6.925101429,8.254900649,486,17,454,43,503,497
4,1000,70,7.7,28,11,956,24,11,9,44,7.224811612,100,726,70.49867308,8.918388872,6.533548052,7.95007174,499,13,457,31,512,488
8,1000,70,7.7,28,11,944,30,11,15,56,7.364897668,107,684,70.575669,9.233035125,6.74377166,7.959282439,470,19,474,37,489,511
2,1000,70,7.7,28,12,940,30,13,17,60,7.697665468,81,700,70.51533633,9.220623907,6.841498963,8.56764111,484,20,456,40,504,496
6,1000,70,7.7,28,12,958,19,12,11,42,7.376929657,96,699,70.59570996,8.861385302,6.70712587,8.096760284,504,14,454,28,518,482
5,1000,70,7.7,28,11,942,30,12,16,58,7.394468077,87,720,70.8414352,9.213237968,6.756084191,8.056255038,484,25,458,33,509,491
1,1000,70,7.7,28,10,956,25,6,13,44,7.335580278,99,692,70.69811521,9.102830467,6.917090411,7.750735565,480,18,476,26,498,502
3,1000,70,7.7,28,12,958,23,8,11,42,7.155991934,85,715,70.68947347,9.036721073,6.508114633,7.783463651,479,13,479,29,492,508
4,1000,70,7.7,28,12,957,23,12,8,43,7.24557118,92,690,70.53868803,8.95012282,6.571289162,7.953014608,500,12,457,31,512,488
7,1000,70,7.7,28,14,940,33,10,17,60,7.64847682,92,712,70.48231835,9.245601125,7.007088478,8.297608281,486,17,454,43,503,497
8,1000,70,7.7,28,12,946,28,11,15,54,7.366443269,90,708,70.62080058,9.262918589,6.761482049,7.945359192,471,18,475,36,489,511
2,1000,70,7.7,28,13,940,30,12,18,60,7.733007033,97,731,70.57422817,9.255954268,6.863535036,8.616502772,484,20,456,40,504,496
1,1000,70,7.7,28,11,958,24,5,13,42,7.319126232,91,732,70.76639014,9.112596121,6.890435043,7.744401555,482,16,476,26,498,502
5,1000,70,7.7,28,12,943,30,11,16,57,7.42870158,86,728,70.87539447,9.233947875,6.770080971,8.111467141,485,24,458,33,509,491
6,1000,70,7.7,28,13,958,20,12,10,42,7.375880807,104,712,70.66924343,8.928524808,6.716933926,8.084043637,504,14,454,28,518,482
4,1000,70,7.7,28,13,955,24,13,8,45,7.317781152,90,721,70.58494972,8.994718396,6.642208791,8.026578384,500,12,455,33,512,488
3,1000,70,7.7,28,13,961,22,8,9,39,7.135595793,118,706,70.74851719,9.038094467,6.521036871,7.730798528,479,13,482,26,492,508
8,1000,70,7.7,28,13,947,27,11,15,53,7.391552706,97,734,70.71355553,9.271712679,6.775097277,7.981467979,472,17,475,36,489,511
7,1000,70,7.7,28,15,941,33,10,16,59,7.686300115,94,698,70.53215236,9.279200455,7.049111914,8.331180728,486,17,455,42,503,497
2,1000,70,7.7,28,14,940,30,12,18,60,7.768348971,98,711,70.65971922,9.282288732,6.889261799,8.661614969,484,20,456,40,504,496
1,1000,70,7.7,28,12,958,26,5,11,42,7.30875824,110,690,70.80419333,9.14392375,6.880208319,7.733893421,482,16,476,26,498,502
5,1000,70,7.7,28,13,945,28,11,16,55,7.422163155,87,721,70.90859096,9.247966783,6.75263958,8.116231382,486,23,459,32,509,491
6,1000,70,7.7,28,14,958,20,12,10,42,7.406410761,85,682,70.7231915,8.945268127,6.770096947,8.090250087,504,14,454,28,518,482
4,1000,70,7.7,28,14,957,24,13,6,43,7.317284469,92,713,70.60368366,9.028364209,6.667331116,7.999202741,500,12,457,31,512,488
3,1000,70,7.7,28,14,961,22,8,9,39,7.148079879,86,706,70.80291531,9.068770224,6.55890499,7.718698078,479,13,482,26,492,508
7,1000,70,7.7,28,16,942,33,10,15,58,7.700149521,103,701,70.58676756,9.327404478,7.027694184,8.380723031,486,17,456,41,503,497
8,1000,70,7.7,28,14,947,28,11,14,53,7.389894635,98,690,70.77289759,9.319258049,6.802986979,7.951534252,472,17,475,36,489,511
2,1000,70,7.7,28,15,940,30,12,18,60,7.794168219,99,720,70.68384456,9.304311343,6.934199313,8.668007592,484,20,456,40,504,496
5,1000,70,7.7,28,14,945,28,11,16,55,7.427823934,111,736,70.939301,9.246851464,6.792386674,8.086556245,486,23,459,32,509,491
6,1000,70,7.7,28,15,957,21,12,10,43,7.455165674,87,725,70.71230335,8.971362471,6.810633559,8.147837117,504,14,453,29,518,482
1,1000,70,7.7,28,13,957,27,5,11,43,7.328341878,91,706,70.85250595,9.185644311,6.892213306,7.760995322,482,16,475,27,498,502
4,1000,70,7.7,28,15,956,25,13,6,44,7.353219822,86,724,70.64674179,9.041355264,6.728422897,8.008744464,499,13,457,31,512,488
7,1000,70,7.7,28,17,941,34,10,15,59,7.738636579,95,698,70.6233994,9.359840585,7.064699516,8.420709703,485,18,456,41,503,497
3,1000,70,7.7,28,15,961,22,8,9,39,7.162826846,95,716,70.840485,9.08677955,6.591958926,7.715714673,479,13,482,26,492,508
8,1000,70,7.7,28,15,947,28,10,15,53,7.415786992,100,739,70.82055207,9.348831496,6.835821253,7.97078356,472,17,475,36,489,511
2,1000,70,7.7,28,16,940,30,12,18,60,7.816356351,95,706,70.70931595,9.325954547,6.941546872,8.70527566,484,20,456,40,504,496
6,1000,70,7.7,28,16,956,22,12,10,44,7.464417927,95,703,70.77990582,9.008489541,6.846158514,8.128854393,503,15,453,29,518,482
5,1000,70,7.7,28,15,944,29,11,16,56,7.447502074,97,733,70.96954978,9.279783605,6.797776428,8.121046582,486,23,458,33,509,491
4,1000,70,7.7,28,16,954,27,13,6,46,7.383076314,92,718,70.71804456,9.051404393,6.749055533,8.048278446,498,14,456,32,512,488
7,1000,70,7.7,28,18,942,34,9,15,58,7.747593242,89,742,70.70044559,9.399024471,7.102862255,8.4001077,485,18,457,40,503,497
1,1000,70,7.7,28,14,958,26,5,11,42,7.349134149,91,726,70.87631202,9.244466888,6.924615382,7.770270297,483,15,475,27,498,502
3,1000,70,7.7,28,16,964,20,7,9,36,7.144063196,104,716,70.91598521,9.120785687,6.564918264,7.704967343,481,11,483,25,492,508
8,1000,70,7.7,28,16,947,27,11,15,53,7.438450213,101,700,70.87010406,9.397808667,6.861643099,7.990424144,473,16,474,37,489,511
2,1000,70,7.7,28,17,943,27,12,18,57,7.860137313,111,717,70.7350202,9.342709119,7.019758935,8.714070181,484,20,459,37,504,496
6,1000,70,7.7,28,17,957,22,11,10,43,7.45112931,107,707,70.81810607,9.035391617,6.845324752,8.102180681,503,15,454,28,518,482
4,1000,70,7.7,28,17,955,26,13,6,45,7.374673832,110,711,70.76151345,9.085452284,6.758047306,8.021626252,498,14,457,31,512,488
7,1000,70,7.7,28,19,942,34,9,15,58,7.752806428,100,693,70.73550224,9.433756593,7.143169026,8.369803638,484,19,458,39,503,497
5,1000,70,7.7,28,16,946,28,10,16,54,7.445032823,113,715,71.0105174,9.294897416,6.782866215,8.131474377,486,23,460,31,509,491
8,1000,70,7.7,28,17,947,27,11,15,53,7.482116349,95,706,70.94393243,9.441479362,6.900820916,8.038385364,473,16,474,37,489,511
3,1000,70,7.7,28,17,964,20,7,9,36,7.162898529,101,730,70.98876608,9.151485278,6.564136763,7.742801657,481,11,483,25,492,508
1,1000,70,7.7,28,15,958,26,5,11,42,7.348738604,108,716,70.91426168,9.255452915,6.912486752,7.781514345,483,15,475,27,498,502
2,1000,70,7.7,28,18,943,28,12,17,57,7.850489233,101,728,70.76666082,9.371792039,7.056102548,8.657688606,484,20,459,37,504,496
6,1000,70,7.7,28,18,959,21,10,10,41,7.469182344,94,747,70.86233409,9.075884803,6.845545782,8.139397571,504,14,455,27,518,482
4,1000,70,7.7,28,18,955,27,12,6,45,7.375604978,84,739,70.78904412,9.088734858,6.804839977,7.974440388,498,14,457,31,512,488
5,1000,70,7.7,28,17,946,27,11,16,54,7.447478105,91,707,71.02999561,9.309950775,6.800277813,8.118404681,486,23,460,31,509,491
7,1000,70,7.7,28,20,945,32,9,14,55,7.734976079,86,744,70.78920402,9.468864348,7.180320257,8.296327947,485,18,460,37,503,497
3,1000,70,7.7,28,18,964,20,7,9,36,7.18920289,99,698,71.01343833,9.206520298,6.56251876,7.796148937,481,11,483,25,492,508
8,1000,70,7.7,28,18,946,29,11,14,54,7.462990797,102,722,70.97301898,9.467103992,6.902927099,7.998942163,473,16,473,38,489,511
1,1000,70,7.7,28,16,959,25,5,11,41,7.353616106,122,731,70.9505403,9.279600465,6.911607419,7.792102811,484,14,475,27,498,502
2,1000,70,7.7,28,19,944,27,12,17,56,7.85986486,90,701,70.80065328,9.387099841,7.062177188,8.670418462,484,20,460,36,504,496
6,1000,70,7.7,28,19,959,21,10,10,41,7.524149432,96,710,70.9309331,9.120094585,6.89988786,8.19503635,504,14,455,27,518,482
4,1000,70,7.7,28,19,953,29,12,6,47,7.436674881,111,705,70.83365557,9.097334171,6.850774333,8.05139021,498,14,455,33,512,488
7,1000,70,7.7,28,21,944,33,9,14,56,7.739767825,100,708,70.81679461,9.472981772,7.135593462,8.351236043,485,18,459,38,503,497
5,1000,70,7.7,28,18,947,27,10,16,53,7.442041263,104,740,71.10584788,9.340936734,6.822600617,8.084190527,486,23,461,30,509,491
3,1000,70,7.7,28,19,965,19,7,9,35,7.248789909,107,735,71.0833594,9.271888009,6.650195257,7.828531187,481,11,484,24,492,508
8,1000,70,7.7,28,19,948,28,11,13,52,7.4169733,102,711,71.0142139,9.483325209,6.836293642,7.97265305,475,14,473,38,489,511
1,1000,70,7.7,28,17,959,24,6,11,41,7.389271909,100,712,71.03770471,9.306103333,6.931277098,7.843617358,484,14,475,27,498,502
2,1000,70,7.7,28,20,942,29,12,17,58,7.895936769,114,724,70.88054163,9.425664445,7.079435572,8.72560734,482,22,460,36,504,496
6,1000,70,7.7,28,20,960,20,9,11,40,7.55374813,92,718,70.9747597,9.136471439,6.962553183,8.189098717,504,14,456,26,518,482
4,1000,70,7.7,28,20,954,30,11,5,46,7.413418554,90,730,70.87610553,9.131825347,6.836477571,8.018733683,498,14,456,32,512,488
7,1000,70,7.7,28,22,947,31,8,14,53,7.752240693,109,704,70.86024729,9.500507219,7.116886619,8.395265038,488,15,459,38,503,497
3,1000,70,7.7,28,20,964,21,7,8,36,7.265720598,113,726,71.14534613,9.290104213,6.7061617,7.807655593,480,12,484,24,492,508
5,1000,70,7.7,28,19,945,29,10,16,55,7.446557774,92,702,71.1550747,9.371227602,6.816971727,8.09922437,485,24,460,31,509,491
8,1000,70,7.7,28,20,951,25,11,13,49,7.403887212,114,697,71.06062432,9.512398689,6.835573351,7.947733548,475,14,476,35,489,511
2,1000,70,7.7,28,21,943,29,11,17,57,7.893238542,116,720,70.93083288,9.430178584,7.087748185,8.71172068,482,22,461,35,504,496
6,1000,70,7.7,28,21,958,23,9,10,42,7.566243924,92,684,71.02576744,9.162691743,6.991124725,8.184318085,503,15,455,27,518,482
1,1000,70,7.7,28,18,962,22,5,11,38,7.413120466,95,678,71.06379254,9.338017493,6.916648807,7.905636174,486,12,476,26,498,502
4,1000,70,7.7,28,21,954,29,12,5,46,7.432514327,95,690,70.93803118,9.12852938,6.864150047,8.028830949,498,14,456,32,512,488
7,1000,70,7.7,28,23,946,33,8,13,54,7.746690494,83,722,70.91212581,9.531446974,7.132125212,8.368675076,487,16,459,38,503,497
5,1000,70,7.7,28,20,945,29,10,16,55,7.462995419,87,711,71.17104155,9.384148739,6.851054775,8.097369732,485,24,460,31,509,491
3,1000,70,7.7,28,21,963,20,8,9,37,7.328458831,100,721,71.18930098,9.320852921,6.753345205,7.885458643,480,12,483,25,492,508
8,1000,70,7.7,28,21,951,25,11,13,49,7.442622944,89,686,71.11251137,9.540819405,6.840271599,8.019041356,475,14,476,35,489,511
